epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,source_path
300,2157.9,2.44214,0.52326,1.08941,0.84421,0.65431,0.75973,0.46496,2.52392,0.53319,1.08968,1.02739e-05,1.02739e-05,1.02739e-05,D:\OBM\CODES\AutoSEG\runs\detect\train100\results.csv
300,887.526,1.51821,0.6746,0.56987,0.69588,0.43948,0.5259,0.23186,1.83266,0.76976,0.54362,0.000500123,0.000500123,0.000500123,D:\OBM\CODES\AutoSEG\runs\detect\train101\results.csv
1000,4138.7,1.52286,0.44744,0.53377,0.86447,0.70387,0.80562,0.5102,1.81269,0.47529,0.53529,0.0001009,0.0001009,0.0001009,D:\OBM\CODES\AutoSEG\runs\detect\train102\results.csv
300,1261.88,9.39744,1.10815,1.62914,0.48726,0.22913,0.26569,0.0978,10.3648,1.20484,1.59818,0.000103,0.000103,0.000103,D:\OBM\CODES\AutoSEG\runs\detect\train103\results.csv
443,1462.43,2.77269,0.45257,0.57485,0.73038,0.57607,0.65745,0.34334,2.57571,0.41914,0.55001,0.00476116,0.00476116,0.00476116,D:\OBM\CODES\AutoSEG\runs\detect\train104\results.csv
592,2714.17,2.58636,1.47813,2.12668,0.73567,0.55011,0.64801,0.32826,3.49751,1.99281,2.23004,0.00121622,0.00121622,0.00121622,D:\OBM\CODES\AutoSEG\runs\detect\train105\results.csv
300,1560.76,2.18009,0.36084,0.56261,0.66921,0.45181,0.53098,0.24313,3.05289,0.45109,0.54076,8.66e-06,8.66e-06,8.66e-06,D:\OBM\CODES\AutoSEG\runs\detect\train106\results.csv
100,244.103,5.35599,1.51821,0.80342,0.16066,0.13784,0.09522,0.02415,6.10017,1.73552,0.6709,0.000200444,0.000200444,0.000200444,D:\OBM\CODES\AutoSEG\runs\detect\train107\results.csv
300,1525.19,1.88103,1.05273,1.09459,0.67012,0.42326,0.49756,0.22855,1.80395,1.03176,1.09007,4.33e-06,4.33e-06,4.33e-06,D:\OBM\CODES\AutoSEG\runs\detect\train108\results.csv
800,2682.39,4.81268,0.53995,0.48695,0.53583,0.2382,0.29375,0.1126,4.75152,0.58082,0.51523,2.2475e-05,2.2475e-05,2.2475e-05,D:\OBM\CODES\AutoSEG\runs\detect\train109\results.csv
600,8439.99,2.45408,0.82653,0.80958,0.70989,0.46252,0.56259,0.26384,2.85841,1.03039,0.80236,1.00685e-05,1.00685e-05,1.00685e-05,D:\OBM\CODES\AutoSEG\runs\detect\train11\results.csv
448,1156.42,2.39921,1.6048,1.02093,0.52962,0.30409,0.35484,0.12574,2.6051,1.59514,0.92573,0.00414156,0.00414156,0.00414156,D:\OBM\CODES\AutoSEG\runs\detect\train110\results.csv
800,2746.65,2.19022,1.2279,0.83728,0.44586,0.20511,0.23604,0.08147,2.58281,1.41856,0.80854,0.000100003,0.000100003,0.000100003,D:\OBM\CODES\AutoSEG\runs\detect\train111\results.csv
61,168.632,3.8599,1.51894,1.14795,0.52439,0.3008,0.3308,0.11855,4.00421,2.81378,1.14338,0.0041,0.0041,0.0041,D:\OBM\CODES\AutoSEG\runs\detect\train113\results.csv
8,21.1733,8.69786,4.23401,1.53135,0,0,0,0,3.25701,2.71094,2.27416,0.156252,0.0022517,0.0022517,D:\OBM\CODES\AutoSEG\runs\detect\train114\results.csv
47,103.602,6.04841,2.41116,1.12219,0.03975,0.06494,0.03008,0.00671,7.01396,3.33013,1.08919,0.000991872,0.000991872,0.000991872,D:\OBM\CODES\AutoSEG\runs\detect\train115\results.csv
125,274.251,2.32676,0.94106,0.875,0.36777,0.1729,0.18313,0.0573,2.8618,1.14192,0.82474,0.00481288,0.00481288,0.00481288,D:\OBM\CODES\AutoSEG\runs\detect\train116\results.csv
146,362.669,4.08837,1.0033,0.86206,0.40394,0.17971,0.19061,0.06204,4.79373,1.30862,0.81678,0.00565,0.00565,0.00565,D:\OBM\CODES\AutoSEG\runs\detect\train117\results.csv
800,2730.96,5.23694,1.25103,0.60025,0.31658,0.11161,0.11067,0.02932,5.60788,1.37949,0.57384,0.000200007,0.000200007,0.000200007,D:\OBM\CODES\AutoSEG\runs\detect\train118\results.csv
826,4398.73,3.433,0.42224,1.07641,0.65599,0.42593,0.50044,0.2272,3.99484,0.48909,1.09556,0.00166312,0.00166312,0.00166312,D:\OBM\CODES\AutoSEG\runs\detect\train119\results.csv
60,235.722,4.02726,1.30396,1.21796,0.57368,0.3634,0.40368,0.15637,4.96218,4.92852,1.20709,0.00976567,0.00976567,0.00976567,D:\OBM\CODES\AutoSEG\runs\detect\train121\results.csv
24,71.8093,3.47679,0.58136,0.92607,0.52304,0.4113,0.41705,0.16151,3.66315,0.62864,0.87951,0.0296831,0.000683056,0.000683056,D:\OBM\CODES\AutoSEG\runs\detect\train122\results.csv
100,244.089,6.05675,1.29983,1.06241,0.06924,0.11312,0.05496,0.01378,6.43245,1.43103,1.00889,0.000102443,0.000102443,0.000102443,D:\OBM\CODES\AutoSEG\runs\detect\train123\results.csv
600,1994.33,1.92654,0.5377,0.90266,0.62011,0.42982,0.49109,0.21877,2.00924,0.53439,0.87857,5.33e-06,5.33e-06,5.33e-06,D:\OBM\CODES\AutoSEG\runs\detect\train124\results.csv
300,1091.53,3.73109,0.60795,0.61785,0.47224,0.31617,0.35868,0.15026,4.08257,0.67479,0.61587,0.000100271,0.000100271,0.000100271,D:\OBM\CODES\AutoSEG\runs\detect\train125\results.csv
300,860.675,2.44609,0.69383,0.62294,0.48001,0.30378,0.34293,0.12553,2.59261,0.73091,0.62786,1.02739e-05,1.02739e-05,1.02739e-05,D:\OBM\CODES\AutoSEG\runs\detect\train126\results.csv
113,379.828,2.17245,1.19586,0.84443,0.43353,0.20456,0.23595,0.08758,2.37179,1.30165,0.7883,0.00069682,0.00069682,0.00069682,D:\OBM\CODES\AutoSEG\runs\detect\train127\results.csv
100,613.625,3.80017,1.09723,0.56908,0.66206,0.42998,0.49857,0.23135,3.83909,1.04906,0.55364,1.24647e-05,1.24647e-05,1.24647e-05,D:\OBM\CODES\AutoSEG\runs\detect\train128\results.csv
