epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85387,3.72312,4.31169,1.25779,0.17347,0.25705,0.14398,0.04664,3.57223,7.18719,0.96862,0.00016,0.00016,0.00016
2,16.6529,3.04515,1.4261,0.97029,0.27084,0.32379,0.17189,0.05268,3.63697,3.40567,0.9971,0.000338878,0.000338878,0.000338878
3,25.1168,2.84528,1.10449,0.9299,0.35167,0.34369,0.24064,0.0862,3.11058,4.07282,0.96668,0.000516568,0.000516568,0.000516568
4,33.4591,2.71266,0.98961,0.92666,0.24765,0.34283,0.16979,0.05919,nan,nan,nan,0.00069307,0.00069307,0.00069307
5,41.66,2.74571,0.97731,0.92536,0.00448,0.00673,0.00225,0.00126,3.70219,inf,5.64995,0.000868384,0.000868384,0.000868384
6,49.7483,2.7456,0.97521,0.92832,0.00657,0.00988,0.00332,0.00159,3.16654,inf,1.01467,0.00104251,0.00104251,0.00104251
7,57.5593,2.62659,0.97864,0.91908,0.11585,0.12425,0.05848,0.02606,2.89188,inf,1.10185,0.00121545,0.00121545,0.00121545
8,65.4111,2.68491,0.96927,0.94015,0.08153,0.08345,0.03951,0.01687,2.94479,nan,1.07368,0.0013872,0.0013872,0.0013872
9,73.4712,2.71281,0.9327,0.90373,0.13389,0.15646,0.07479,0.03386,2.80062,inf,1.01844,0.00155776,0.00155776,0.00155776
10,81.4043,2.81189,0.94428,0.93022,0.0912,0.09333,0.04779,0.02132,nan,nan,nan,0.00172713,0.00172713,0.00172713
11,89.3644,3.03574,1.02228,0.96354,0.537,0.32751,0.34186,0.12023,nan,nan,nan,0.00189532,0.00189532,0.00189532
12,97.5814,2.86785,1.07992,0.95134,0.52552,0.41254,0.40038,0.12796,nan,nan,nan,0.0019274,0.0019274,0.0019274
