epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.75132,5.39183,3.58912,1.34883,0.35281,0.3361,0.27253,0.09168,4.40501,1.74718,0.91661,0.0002,0.0002,0.0002
2,19.3782,4.16247,1.63774,1.00673,0,0,0,0,nan,nan,nan,0.000419723,0.000419723,0.000419723
3,28.2754,3.73069,1.09201,0.96106,0,0,0,0,nan,nan,nan,0.000639155,0.000639155,0.000639155
4,37.1194,3.94829,1.06266,0.978,0,0,0,0,nan,nan,nan,0.000858297,0.000858297,0.000858297
5,46.2344,3.75365,1.0906,0.97076,0,0,0,0,nan,nan,nan,0.00107715,0.00107715,0.00107715
6,55.0879,3.7898,1.04284,0.96205,0,0,0,0,nan,nan,nan,0.00129571,0.00129571,0.00129571
7,64.1007,3.9794,1.00347,0.96195,0,0,0,0,nan,nan,nan,0.00151398,0.00151398,0.00151398
8,72.9219,3.8144,1.04215,0.95395,0,0,0,0,nan,nan,nan,0.00173196,0.00173196,0.00173196
9,81.8723,3.95804,1.05476,0.97789,0,0,0,0,nan,nan,nan,0.00194965,0.00194965,0.00194965
10,90.7688,4.19838,1.06515,0.9921,0,0,0,0,nan,nan,nan,0.00198812,0.00198812,0.00198812
11,99.4448,3.85382,1.01176,0.97328,0,0,0,0,nan,nan,nan,0.0019868,0.0019868,0.0019868
12,108.577,3.99537,1.00619,0.94668,0,0,0,0,nan,nan,nan,0.00198548,0.00198548,0.00198548
13,118.277,3.80874,1.00741,0.95967,0,0,0,0,nan,nan,nan,0.00198416,0.00198416,0.00198416
14,127.777,3.89275,0.96446,0.954,0,0,0,0,8.3423,inf,2.2827,0.00198284,0.00198284,0.00198284
15,137.115,3.76437,0.96277,0.95193,0.00762,0.01145,0.00385,0.00205,4.66583,inf,1.00666,0.00198152,0.00198152,0.00198152
16,146.322,3.83189,0.99679,0.98957,0.03626,0.05368,0.01895,0.00917,3.9422,inf,0.9059,0.0019802,0.0019802,0.0019802
17,155.749,3.7291,0.96514,0.94396,0.2842,0.31878,0.18121,0.07083,4.0286,6.18737,0.91428,0.00197888,0.00197888,0.00197888
18,164.972,3.72531,0.93303,0.93931,0.10981,0.16504,0.06478,0.02861,3.89845,10.9788,0.90702,0.00197756,0.00197756,0.00197756
19,174.236,3.7381,0.9756,0.95155,0.16221,0.2286,0.09921,0.04188,4.10421,6.54262,0.93119,0.00197624,0.00197624,0.00197624
