epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18152,5.08385,4.25824,1.2215,0.09764,0.15198,0.0763,0.0254,5.00295,3.11746,1.0419,0.1905,0.0005,0.0005
2,11.2859,4.63468,2.58692,1.05191,0.3415,0.20909,0.18251,0.05545,4.97089,2.37859,0.93529,0.1791,0.00109999,0.00109999
3,16.1811,4.25212,1.96323,0.96184,0.31546,0.17257,0.1545,0.04382,5.44022,2.19626,0.93327,0.1677,0.00169995,0.00169995
4,20.7132,4.21963,1.83868,0.96846,0.29648,0.20483,0.17431,0.05572,5.14509,2.1492,0.92232,0.1563,0.00229986,0.00229986
5,25.2444,4.51003,1.83497,0.96591,0.2822,0.2268,0.18429,0.05169,5.23086,2.45345,0.90565,0.1449,0.00289968,0.00289968
6,29.7923,4.08008,1.60935,0.94577,0.31948,0.21475,0.18913,0.05954,5.08991,2.64232,0.914,0.133499,0.0034994,0.0034994
7,34.1494,3.8104,1.89439,0.95128,0.18064,0.29256,0.17935,0.05346,4.82993,2.54526,0.90145,0.122099,0.00409899,0.00409899
8,38.1692,4.82277,1.87386,0.95665,0.33492,0.19275,0.17367,0.05535,5.10773,1.89575,0.91482,0.110698,0.00469842,0.00469842
9,42.3644,5.39462,1.86689,0.94984,0.22363,0.16667,0.13134,0.03567,5.66806,1.92969,0.91612,0.0992977,0.00529768,0.00529768
10,46.3263,5.32631,2.10251,0.93043,0.1739,0.28213,0.15643,0.04283,5.06056,2.51648,0.89457,0.0878967,0.00589673,0.00589673
11,50.474,4.49416,2.02763,0.93818,0.19729,0.1517,0.10426,0.02816,5.94865,1.94662,0.92601,0.0764956,0.00649555,0.00649555
12,54.7353,5.07359,1.73495,0.9603,0.22524,0.17504,0.11715,0.03029,5.69288,1.91369,0.92223,0.0650941,0.00709412,0.00709412
