epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0259,4.9957,3.59335,1.4858,0.03118,0.04366,0.01935,0.0047,4.93503,2.49627,1.15029,0.00022,0.00022,0.00022
2,19.6759,3.81976,1.70808,1.1452,0.17467,0.19055,0.10118,0.02574,3.9295,5.45878,1.01864,0.000459818,0.000459818,0.000459818
3,29.6089,3.27115,1.41627,1.04004,0.29607,0.30931,0.19201,0.06046,3.32417,11.2446,0.96609,0.000699446,0.000699446,0.000699446
4,39.1554,3.01639,1.27782,0.99149,0.28589,0.33278,0.19512,0.06576,3.0464,9.5041,0.94437,0.000938883,0.000938883,0.000938883
5,48.7718,2.92759,1.24549,1.00148,0.37546,0.35736,0.25798,0.08677,2.98024,7.05724,0.96765,0.00117813,0.00117813,0.00117813
6,58.1216,2.78539,1.20825,0.97204,0.34756,0.35956,0.2283,0.07685,2.94919,5.79254,0.97519,0.00141719,0.00141719,0.00141719
7,67.1371,2.73644,1.18437,0.95542,0.05353,0.07359,0.02839,0.01309,nan,nan,nan,0.00165606,0.00165606,0.00165606
8,76.2307,2.70809,1.13211,0.95016,0.36059,0.27306,0.21185,0.06501,3.34652,9.69256,1.08702,0.00189473,0.00189473,0.00189473
9,85.1919,2.69747,1.18814,0.96956,0.52645,0.34995,0.37665,0.13328,2.7599,3.50322,0.94672,0.00199366,0.00199366,0.00199366
10,94.5607,2.67096,1.12765,0.936,0.54691,0.35571,0.38476,0.127,2.95774,3.27468,0.96599,0.00199287,0.00199287,0.00199287
11,103.601,2.57869,1.06625,0.93474,0.61349,0.42863,0.46994,0.1674,2.70255,3.5369,0.9131,0.00199208,0.00199208,0.00199208
12,112.914,2.62488,1.08178,0.95859,0.57008,0.38701,0.40919,0.13855,2.88928,4.38487,0.94606,0.00199129,0.00199129,0.00199129
13,121.944,2.53921,1.06857,0.94528,0.5098,0.35434,0.37139,0.12614,2.85031,2.97419,0.89938,0.0019905,0.0019905,0.0019905
14,130.948,2.60114,1.07692,0.92925,0.54656,0.39621,0.42971,0.1623,2.62195,2.75236,0.87857,0.0019897,0.0019897,0.0019897
15,140.31,2.59647,1.03259,0.92917,0.54285,0.40513,0.42108,0.16695,2.49685,1.78695,0.88073,0.00198891,0.00198891,0.00198891
16,149.391,2.45866,1.0097,0.91781,0.53846,0.41084,0.43636,0.17289,2.44615,1.52454,0.86859,0.00198812,0.00198812,0.00198812
17,158.881,2.52602,1.01025,0.92818,0.53657,0.41063,0.42865,0.16541,2.53103,1.64324,0.87912,0.00198733,0.00198733,0.00198733
18,168.245,2.49756,1.02254,0.92049,0.51116,0.41708,0.40777,0.15272,2.51883,1.42754,0.86883,0.00198654,0.00198654,0.00198654
19,177.788,2.49604,1.03353,0.92506,0.58962,0.42037,0.45379,0.16821,2.70882,1.80189,0.90377,0.00198574,0.00198574,0.00198574
20,187.032,2.40765,1.00564,0.91768,0.62668,0.45263,0.50363,0.20359,2.48748,1.4811,0.87203,0.00198495,0.00198495,0.00198495
21,196.362,2.37264,0.99197,0.92211,0.58614,0.46513,0.50528,0.21202,2.40054,0.96579,0.86427,0.00198416,0.00198416,0.00198416
22,205.838,2.3685,0.97329,0.92574,0.61256,0.46815,0.5195,0.21951,2.38487,0.99884,0.86501,0.00198337,0.00198337,0.00198337
23,215.227,2.29863,0.93542,0.90985,0.63336,0.48435,0.53599,0.21095,2.40879,1.12462,0.86565,0.00198258,0.00198258,0.00198258
24,224.322,2.38233,0.96382,0.913,0.6042,0.4838,0.52333,0.20206,2.47091,1.13645,0.87106,0.00198178,0.00198178,0.00198178
25,233.461,2.35689,0.94136,0.91412,0.62444,0.46376,0.5192,0.21282,2.34323,1.16447,0.85894,0.00198099,0.00198099,0.00198099
26,242.535,2.27988,0.93077,0.91334,0.6304,0.47699,0.53687,0.22151,2.35812,1.10359,0.85823,0.0019802,0.0019802,0.0019802
